GeographySummary	GeographyVariant	GeographyNation	GeographyState	2017 NAICS code	Employment size of establishments code	Year	Number of establishments
040	0000	US	49	31-33	500	2017	32
040	0000	US	50	31-33	1	2017	1033
040	0000	US	50	31-33	100	2017	1020
040	0000	US	50	31-33	210	2017	525
040	0000	US	50	31-33	215	2017	130
040	0000	US	50	31-33	220	2017	113
040	0000	US	50	31-33	225	2017	127
040	0000	US	50	31-33	230	2017	59
040	0000	US	50	31-33	235	2017	49
040	0000	US	50	31-33	240	2017	17
040	0000	US	50	31-33	500	2017	13
040	0000	US	51	31-33	1	2017	5038
040	0000	US	51	31-33	100	2017	4982
040	0000	US	51	31-33	210	2017	2235
040	0000	US	51	31-33	215	2017	646
040	0000	US	51	31-33	220	2017	626
040	0000	US	51	31-33	225	2017	691
040	0000	US	51	31-33	230	2017	322
040	0000	US	51	31-33	235	2017	269
040	0000	US	51	31-33	240	2017	193
040	0000	US	51	31-33	500	2017	56
040	0000	US	53	31-33	1	2017	7017
040	0000	US	53	31-33	100	2017	6933
040	0000	US	53	31-33	210	2017	3381
040	0000	US	53	31-33	215	2017	893
040	0000	US	53	31-33	220	2017	876
040	0000	US	53	31-33	225	2017	844
040	0000	US	53	31-33	230	2017	458
040	0000	US	53	31-33	235	2017	331
040	0000	US	53	31-33	240	2017	150
040	0000	US	53	31-33	500	2017	84
040	0000	US	54	31-33	1	2017	1142
040	0000	US	54	31-33	100	2017	1119
040	0000	US	54	31-33	210	2017	469
040	0000	US	54	31-33	215	2017	146
040	0000	US	54	31-33	220	2017	149
040	0000	US	54	31-33	225	2017	170
040	0000	US	54	31-33	230	2017	89
040	0000	US	54	31-33	235	2017	65
040	0000	US	54	31-33	240	2017	31
040	0000	US	54	31-33	500	2017	23
040	0000	US	55	31-33	1	2017	8837
040	0000	US	55	31-33	100	2017	8726
040	0000	US	55	31-33	210	2017	3166
040	0000	US	55	31-33	215	2017	1017
040	0000	US	55	31-33	220	2017	1086
040	0000	US	55	31-33	225	2017	1452
040	0000	US	55	31-33	230	2017	869
040	0000	US	55	31-33	235	2017	763
040	0000	US	55	31-33	240	2017	373
040	0000	US	55	31-33	500	2017	111
040	0000	US	56	31-33	1	2017	581
040	0000	US	56	31-33	100	2017	570
040	0000	US	56	31-33	210	2017	323
040	0000	US	56	31-33	215	2017	100
040	0000	US	56	31-33	220	2017	61
040	0000	US	56	31-33	225	2017	51
040	0000	US	56	31-33	230	2017	14
040	0000	US	56	31-33	235	2017	17
040	0000	US	56	31-33	240	2017	4
040	0000	US	56	31-33	500	2017	11
010	0000	US		31-33	1	2017	291586
010	0000	US		31-33	100	2017	288542
010	0000	US		31-33	210	2017	129972
010	0000	US		31-33	215	2017	36315
010	0000	US		31-33	220	2017	36495
010	0000	US		31-33	225	2017	40237
010	0000	US		31-33	230	2017	20595
010	0000	US		31-33	235	2017	16428
010	0000	US		31-33	240	2017	8500
010	0000	US		31-33	500	2017	3044
